PORTA LATERALE SCORREVOLE SU LATO DESTRO PER VEICOLI GDX;Sliding door on right side on RHD vehicle;4FP
SOSPENSIONI POSTERIORI MAGGIORATE PER TRASFORMAZIONI GRAVOSE;Oversized rear suspensions ;4GM
SEDILE GUIDA GIREVOLE CAPTAIN CHAIR;Pivoting Captain chair driver seat;4GP
SEDILE PASSEGGERO GIREVOLE CAPTAIN CHAIR;Pivoting Captain chair passenger seat;4GQ
PADIGLIONE SPECIFICO TAGLIATO;Cut reinforced roof;4GS
PREDISPOSIZIONE CLIMATIZZATORE POSTERIORE;Rear climate control setup ;4GT
SOSPENSIONI SPECIFICHE RIALZATE CAMPING CAR;Lifted front suspensions for recreational vehicles;4H2
PREDISPOSIZIONE GANCIO TRAINO;Towing hook predisposition;4HB
Smartphone station with radio tuner;Smartphone station with radio tuner;4HE
Smartphone station with radio tuner;Smartphone station with radio tuner;4HE
SIDE MARKER;Side Marker;4HH
SELLERIA TESSUTO CREPE BLACK;Crepe Black fabric upholstery;4MZ
SELLERIA TESSUTO CREPE BLACK;Crepe Black fabric upholstery;4MZ
SELLERIA TESSUTO BEIGE;Beige fabric upholstery;4N5
PREDISPOSIZIONE RISCALDATORE POSTERIORE;Rear heater setup;4N8
PREDISPOSIZIONE FENDINEBBIA CON LUCI DI SVOLTA;Fog lights with cornering function predisposition;4NF
ESCLUSIONE SEDILI ANTERIORI (BONIFICO 2);Front seats exclusion;4P4
MAPPE PER NAVIGATORE AUSTRALIA / NUOVA ZELANDA;AUSTRALIA / NZ Maps for navigation;4TD
SEDILI GUIDATORE E PASSEGGERO SINGOLI SPECIFICI POSTE&CORRIERI;Driver and passenger seats for Postal Service Mission;4TH
SEDILI ANTERIORI CAPTAIN CHAIR CON REGOLAZIONE IN ALTEZZA;Captain chair front seats with height adjustment;4TI
PARAURTI ANTERIORE GOFFRATO;Grained front bumper;4WH
ESCLUSIONE LIMITATORE DI VELOCITA;Exclusion speed limiter;4XH
3^ CHIAVE TELECOMANDO;3› key with remote control;4YV
AIR BAG GUIDATORE;Driver air bag ;500
AIR BAG PASSEGGERO DOPPIO;Double passenger airbag;502
AIR BAG PASSEGGERO DOPPIO;Double passenger airbag;502
SIDE AIR BAG & WINDOW AIR BAG;Front side air bags + window bags ;505
SENSORI DI PARCHEGGIO POSTERIORI;Rear parking sensors ;508
SENSORI DI PARCHEGGIO POSTERIORI;Rear parking sensors ;508
CARTER COPRI BASE SEDILI;Seats lateral lower covers;50E
PORTA POSTERIORE A 2 BATTENTI CIECHI;Twin Panelled Rear Doors;516
PORTA POSTERIORE A 2 BATTENTI VETRATA;Glazed rear doors ;519
PTT MAGGIORATO 4400 KG;Oversized GVW 4400 kg;51Q
PORTA LATERALE SCORREVOLE VETRATA;Glazed sliding side door ;520
PREDISPOSIZIONE RISCALDATORE ADDIZIONALE;Predisposition for Heater on Tank;52X
ANTENNA RADIO DAB INTEGRATA IN SPECCHIO ESTERNO;DAB radio antenna integrated in right external mirror;54Q
BONIFICO CAPUCINE;Capucine exclusion;55Q
BONIFICO VERNICIATURA VANO CARICO;Cargo area paint exclusion;56Q
KIT STRADE GRAVOSE;Bad roads set-up;57A
LIMITATORE DI VELOCITA 90 KM/H;Speed limiter (90 km/h) ;58E
CARREGGIATA POSTERIORE MAGGIORATA 1980 MM;Wider rear track 1980 mm;58G
Speed limiter 100 km/h;Speed limiter 100 km/h;5BF
COMANDI RADIO SU VOLANTE PER CARROZZIERI;Steering wheel radio controls for converters;5BH
VERNICIATURA GRIGIO LANZAROTE - COLORE 385;LANZAROTE Grey paint - Color 385;5CK
VERNICIATURA GRIGIO PASTELLO EXPEDITION - COLORE 676;Grey Expedition paint - Color 676;5CL
CORNICE NERA PROIETTORI;Black frame on headlamps;5EM
"RUOTE LAMIERA STANDARD 16""";"16"" STANDARD STEEL WHEELS";5EV
AUTOMATIC EMERGENCY BRAKE SYSTEM;AUTOMATIC EMERGENCY BRAKE SYSTEM;CK1
KIT SAFETY MY24;KIT SAFETY MY24;5F4
KIT SAFETY MY24;KIT SAFETY MY24;5F4
KIT SAFETY MY24;KIT SAFETY MY24;5F4
BONIFICO KIT SAFETY MY24;Kit Safety MY24 Exclusion;5F5
KIT SAFETY N2 MY24;KIT SAFETY N2 MY24;5F6
BONIFICO KITSAFETY N2 MY24;Kit Safety N2 MY24 Exclusion;5F7
KIT EASY DRIVING MY24;Kit Easy Driving MY24;5F8
LIBRETTO CRONOTACHIGRAFO SMART LINGUA CECO;Smart tachograph booklet czech;5JY
LIBRETTO CRONOTACHIGRAFO SMART LINGUA DANESE;Smart tachograph booklet danish;5JZ
"Identification aerodynamic CO2 reduction content
Includes:
Central Spoiler (DAM)
Air Guide                                     
Active Grille Shutter (AGS)
Plastic under engin repair";"Identification aerodynamic CO2 reduction content
Includes:
Central Spoiler (DAM)
Air Guide                                     
Active Grille Shutter (AGS)
Plastic under engin repair";5K8
LIBRETTO OLANDESE/LINGUA;Dutch Warranty Book;5KA
LIBRETTO FINLANDESE/LINGUA;Finnish Warranty Book;5KC
LIBRETTO CRONOTACHIGRAFO SMART LINGUA GRECO;Smart tachograph booklet greek;5KD
LIBRETTO CRONOTACHIGRAFO SMART LINGUA UNGHERESE;Smart tachograph booklet hungarian;5KE
LIBRETTO SVEDESE/LINGUA;Swedish Warranty Book;5KK
Summer tyres;Summer tyres;5PP
ePto;ePto;5R8
ESCLUSIONE ATTREZZI DI BORDO;On board tools exclusion;5SB
Euro 5 homologation;Euro 5 homologation;5SE
OMOLOGAZIONE GSO (Gulf Standards Organization);OMOLOGAZIONE GSO (Gulf Standards Organization);5SF
Validation plug - Blue Connector;Validation plug - Blue Connector;5U1
ESCLUSIONE SEDILE PASSEGGERO;Seat passenger exclusion;5UE
Load Compartment Wall Wooden Full Height Protection;Load Compartment Wall Wooden Full Height Protection;5V6
Load Compartment Floor Wooden Protection;Load Compartment Floor Wooden Protection;5V7
TRAVERSA CRASH BOX ANTERIORE;Front crash-box;5VE
LIBRETTO SVIZZERA/LINGUE;Swiss Warranty Book;5VR
TELONE EVO DI PROTEZIONE SCUDATO;Evo protection cover for cowls;5WL
ARGENTINA MARKET SPECIFICATION (handbook+Nav);ARGENTINA MARKET SPECIFICATION (handbook+Nav);5XL
PORTE POSTERIORI APERTURA 270 GRADI     ;270›-opening rear doors ;619
BRAZIL MARKET SPECIFICATION;BRAZIL MARKET SPECIFICATION;62E
ESCLUSIONE RIVESTIMENTO PADIGLIONE;Roof cover exclusion;62J
SEDILE GUIDA AMMORTIZZATO;Sprung driver?s seat;640
VETRI 2^ LUCE SCORREVOLI              ;Sliding Glass in Sliding Doors;644
KIT FIX & GO + ATTREZZI + RUOTA DI SCORTA + PORTARUOTA DI SCORTA ESTRAIBILE;Fix & Go + Tools for wheel reparation +  Spare wheel + winch;64E
CRONOTACHIGRAFO;Tachograph ;650
STANDARD DRL;Standard incandescence DRL;692
ENGINE IDLE PRESET;Engine idle preset;6BX
Homologation 1;Homologation 1;6C1
Homologation 2;Homologation 2;6C2
DHL CONVERSION;DHL CONVERSION;6CK
PERSONALIZZAZIONE VEICOLO OPEL;Custom vehicle Opel;6HN
PERSONALIZZAZIONE VEICOLO VAUXHALL;Custom vehicle Vauxhall;6HP
"TARGHETTA DI ASSISTENZA ""CIAO FIAT""";"""CIAO FIAT"" support badge";6HQ
GANCIO TRAINO FISSO;Fixed towing hook;6JA
PREDISPOSIZIONE TRACTION PLUS + HILL DESCENT CONTROL;Traction plus + hill descent control predisposition;6L3
LIBRETTO CRONOTACHIGRAFO SMART LINGUA SLOVACCO;Smart tachograph booklet slovakian;6MP
PREDISPOSIZIONE RADIO PESANTE DAB;DAB radio predisposition;6QD
AWP - ANTI-WEAR PACKAGE;AWP - ANTI-WEAR PACKAGE;6S6
KIT STRADE GRAVOSE CON RINFORZI SOSPENSIONE;Heavy roads kit;6SC
RIGENERAZIONE FORZATA DPF;Forced regeneration DPF;6SN
Euro 6.1 homologation;Euro 6.1 homologation;6X9
A PILLAR AND 3RD LIGHT PLASTIC COVER EXCLUSION;A PILLAR AND 3RD LIGHT PLASTIC COVER EXCLUSION;6Z6
CASSETTO CENTRALE;Central locked glovebox;6ZQ
Custom vehicle JUPITER;Custom vehicle JUPITER;CPK
PERSONALIZZAZIONE VEICOLO FIAT;Custom vehicle Fiat;700
PERSONALIZZAZIONE VEICOLO PEUGEOT;Custom vehicle Peugeot;701
PERSONALIZZAZIONE VEICOLO CITROEN;Custom vehicle Citroen;702
TELECOMANDO MULTIFUNZIONE 3 TASTI;3-button multifunction remote control ;708
SELLERIA VINILE (FINTA PELLE);Vinyl upholstery ;727
BONIFICO PARATIA;Partition exclusion;72X
SELLERIA TESSUTO CREPE GRIGIO;Crepe Grey Fabric upholstery;732
TRAVERSA E FANALERIA POSTERIORI;Rear crossmember + wheel basket + taillights ;742
ESCLUSIONE PARETE POSTERIORE CABINA SEMPLICE;Rear wall elimination on Cabs;743
