SPEED LIMITER + CRUISE CONTROL;Speed limiter + cruise control;NHR
GLOBAL TELEMATICS BOX MODULE (TBM);Global Telematic box module;RDG
RICARICA SMARTPHONE WIRELESS CON CLIMATIZZATORE AUTOMATICO;Smartphone wireless charger with automatic climate control;RFX
DOPPIA PRESA RICARICA USB ADDIZIONALE IN PLANCIA;Double USB charging port on dashboard;RS3
CONNECTED SERVICES EMEA - GLOBAL SERVICE DELIVERY PLATFORM (GSDP);Connected Services EMEA - GDSP;RTK
"""PUBLIC E-CALL""";"""PUBLIC E-CALL""";RTR
CONNECTED SERVICES IAP - GLOBAL SERVICE DELIVERY PLATFORM (GSDP);Connected Services IAP - GDSP;RTS
SELECTIVE CATALYST REDUCER;SELECTIVE CATALYST REDUCER;SCR
BLIND SPOT ASSIST + REAR CROSS PATH DETECTION;Blind spot assist + rear cross path detection;XAN
CONTENUTI ECE 16;ECE 16 contents;XCP
NUOVO GAS REFRIGERANTE;New refrigerant gas;XFC
Door check nylon strap;Door check nylon strap;XPA
ALLESTIMENTO AMAZON;AMAZON Preparation;XR8
Refrigerant gas R134a;Refrigerant gas R134a;XSK
SERVOSTERZO IDRAULICO;Standard hydraulic power steering;XXE
PREDISPOSIZIONE FURGONE CREW CAB (FURGONE CABINA DOPPIA);Crew Cab Van Predisposition (Van with two seat rows and cargo area separation behind second seat row);Z6L
"""WINDOW 3/2026 OPT IDENTIFICATION""";"""WINDOW 3/2026 OPT IDENTIFICATION"" - ONLY ON LOGISTIC (NO IMPACTS FOR CODEP/PLM)";JCT
"""WINDOW 3/2026 OPT IDENTIFICATION""";"""WINDOW 3/2026 OPT IDENTIFICATION"" - ONLY ON LOGISTIC (NO IMPACTS FOR CODEP/PLM)";JCT
WINDOW 11/ 2025;WINDOW 11/ 2025 (O untill 30th Novemebr 2025);3C4
WINDOW 11/ 2025;WINDOW 11/ 2025;3C4
WINDOW 11/ 2025;WINDOW 11/ 2025;3C4
16'' steel wheels;16'' steel wheels;404
OPT OMOLOGATIVI;;
ADEGUAMENTO MASSE OMOLOGATIVE;HOMOLOGATIVE MASS ADJUSTMENT;2KL
BONIFICO ADEGUAMENTO MASSE OMOLOGATIVE;HOMOLOGATIVE MASS ADJUSTMENT EXCLUSION;2KR
"OMOLOGAZIONE RUOTE 15""";"Homologation Wheels 15""";280
PTT MAGGIORATO 3650 KG;Oversized GVW 3650 kg;943
Homologation GVW 3850 kg for BRAZIL;Homologation GVW 3850 kg for BRAZIL;0Y8
OMOLOGAZIONE N1;N1 homologation;4YZ
TARGHETTA PTT 3995 KG ISRAELE;GVW 3995 KG LABEL;6QZ
TARGHETTA PTT 3510 KG;GVW 3510 KG LABEL;6R0
Reduced GVW 2495 kg for Russia market;Reduced GVW 2495 kg for Russia market;77P
"OMOLOGAZIONE RUOTE 16""";"Homologation Wheels 16""";78D
ECO INNOVATION;ECO INNOVATION;78N
OMOLOGAZIONE VEICOLO INCOMPLETO;INCOMPLETE VEHICLE HOMOLOGATION (STAGE 1);7MB
Reduced GVW 2795 kg for Russia market;Reduced GVW 2795 kg for Russia market;7P7
OMOLOGAZIONE EURO 6 E (ND from 5th May 2025);EURO 6 E homologation (ND from 5th May 2025);ARE
Euro 6E-bis homologation   (S from 5th May 2025);Euro 6E-bis homologation (S from 5th May 2025);B6T
"""GVW 4250kg with electrification weight identification";"""GVW 4250kg with electrification weight identification";B85
GVW 4100 KG HOMOLOGATION;GVW 4100 KG HOMOLOGATION;BBP
PL8 engine hardware specifications;PL8 engine hardware specifications;BN6
OBD - BD3 homologation;OBD - BD3 homologation;BTZ
GVW 4200 KG HOMOLOGATION;GVW 4200 KG HOMOLOGATION;BXQ
GVW 4150 KG HOMOLOGATION;GVW 4150 KG HOMOLOGATION;BXR
Euro 6C high altitude software;Euro 6C high altitude software;C1U
4170 kg GVW homologation;4170 kg GVW homologation;CB5
4065 kg GVW homologation;4065 kg GVW homologation;CH8
OPT LOGISTICI / PACK;;
KIT PARASPRUZZI (197,747);MUDFLAPS KIT (197,747);498
PACK VISIBILITY PLUS (051, LPZ, 9WE);PACK VISIBILITY PLUS (051, LPZ, 9WE);38C
MY 2024;MY 2024;0MK
MY 2025;MY 2025;0ML
"PACK CAMPING CAR 2 
(4EB,4TI)";"PACK CAMPING CAR 2 
(4EB,4TI)";0QB
"PACK CAMPING CAR 4 
(4EB,4TI,50E)";"PACK CAMPING CAR 4
(4EB,4TI,50E)";0QD
PACK WINTER EU (887, 453, 253, 205);PACK WINTER EU (887, 453, 253, 205);685
PACK CITY PLUS EXPORT (316, XAN, 341, 2V8, GRG);PACK CITY PLUS EXPORT (316, XAN, 341, 2V8, GRG);687
Pack Spare Wheel + Jack (980 + 786);Pack Spare Wheel + Jack (980 + 786);4DH
PACK SECURITY (064,213);PACK SECURITY (064,213);4YR
PACK CITY EXPORT (316, XAN, 341);PACK CITY EXPORT (316, XAN, 341);5YJ
LADDER HOLDER AND CAB PROTECTION GRILLE EXCLUSION;LADDER HOLDER AND CAB PROTECTION GRILLE EXCLUSION;6ZA
CONTENTS UPDATE;CONTENTS UPDATE;864
KIT ETICHETTE PER FIX&GO GRUPPO B;LABEL KIT FOR FIX&GO LANGUAGE GROUP B;8F5
KIT ETICHETTE PER FIX&GO GRUPPO C;LABEL KIT FOR FIX&GO LANGUAGE GROUP C;8F6
KIT ETICHETTE PER FIX&GO GRUPPO D;LABEL KIT FOR FIX&GO LANGUAGE GROUP D;8F7
KIT ETICHETTE PER FIX&GO GRUPPO E;LABEL KIT FOR FIX&GO LANGUAGE GROUP E;8F8
KIT ETICHETTE PER FIX&GO GRUPPO F;LABEL KIT FOR FIX&GO LANGUAGE GROUP F;8F9
KIT ETICHETTE PER FIX&GO GRUPPO H;LABEL KIT FOR FIX&GO LANGUAGE GROUP H;8FA
KIT ETICHETTE PER FIX & GO MULTILINGUE - ALLESTITORI;LABEL KIT FOR FIX&GO MULTI-LANGUAGE FOR CONVERTERS;8FP
KIT ETICHETTE PER FIX&GO GRUPPO G;LABEL KIT FOR FIX&GO LANGUAGE GROUP G;8H7
ELEMENTI SPECIFICI E ADATTAMENTI A CURA DEL CARROZZIERE;Logistic option for conversion purposes ;972
"PACK CAMPING CAR 1  (4GP, 4GQ)
(4GP+4GQ)";"PACK CAMPING CAR 1  (4GP, 4GQ)
(4GP+4GQ)";9EW
PACK WORKSITE LIGHT EU (941, 144, 077, 980, 786);PACK WORKSITE LIGHT EU (941, 144, 077, 980, 786);AVT
PACK WORKSITE HEAVY EU (941, 144, 077, 980, 786, 4BJ);PACK WORKSITE HEAVY EU (941, 144, 077, 980, 786, 4BJ);AVU
PACK WORKSITE N2 EU (941, 144, 980, 786);PACK WORKSITE N2 EU (941, 144, 980, 786);AVW
PACK WORKSITE HEAVY LEV (941, 144, 980, 786, 4BJ);PACK WORKSITE HEAVY LEV (941, 144, 980, 786, 4BJ);AVY
PACK HANDSFREE & SOCKET (GX4, 026, JKU);PACK HANDSFREE & SOCKET (GX4, 026, JKU);AW5
PACK HANDSFREE & CENTRAL GLOVEBOX (GX4, 026, 6ZQ);PACK HANDSFREE & CENTRAL GLOVEBOX (GX4, 026, 6ZQ);AW6
PACK WINTER LEV (453, 253);PACK WINTER LEV (453, 253);AW7
PACK CITY PLUS EU (XAN, 341, 2V8, GRG);PACK CITY PLUS EU (XAN, 341, 2V8, GRG);AW8
PACK TECHNO EU (2PZ, 140, RS3);PACK TECHNO EU (2PZ, 140, RS3);AW9
PACK TECHNO PLUS EU (2PZ, 140, RS3, RFX, 2QF);PACK TECHNO PLUS EU (2PZ, 140, RS3, RFX, 2QF);AWA
PACK CONVERSION (081, 7KK, 782);PACK CONVERSION (081, 7KK, 782);AWE
PACK CREW VAN (835, 619, 823);PACK CREW VAN (835, 619, 823);AWN
PACK HANDSFREE & SOCKET MOTOR CAB (GX4, JKU);PACK HANDSFREE & SOCKET MOTOR CAB (GX4, JKU);AWP
PACK HANDSFREE & CENTRAL GLOVEBOX MOTOR CAB (GX4, 6ZQ);PACK HANDSFREE & CENTRAL GLOVEBOX MOTOR CAB (GX4, 6ZQ);AWU
PACK TYRES MOTOR CAB (144, 980);PACK TYRES MOTOR CAB (144, 980);AX3
PACK CITY DROPSIDE EXPORT (341, 316);PACK CITY DROPSIDE EXPORT (341, 316);AX4
PACK CITY CHASSIS EXPORT (GRG, 341, 8EJ);PACK CITY CHASSIS EXPORT (GRG, 341, 8EJ);AX5
PACK CITY CHASSIS (GRG, 341);PACK CITY CHASSIS (GRG, 341);AX6
PACK CONVERSION LEV (081, 782);PACK CONVERSION LEV (081, 782);AX7
PACK TECHNO EXPORT  (2PX, 140, RS3);PACK TECHNO EXPORT  (2PX, 140, RS3);AXT
PACK PREMIUM CAB (0XW, 320, 7WV, 50E);PACK PREMIUM CAB (0XW, 320, 7WV, 50E);AYK
PACK PREMIUM CAB SUSPENSION SEAT (0XW, 320, 640, 50E);PACK PREMIUM CAB SUSPENSION SEAT (0XW, 320, 640, 50E);AYM
PREMIUM CAB CAMPER (0XW, 320);PREMIUM CAB CAMPER (0XW, 320);AYN
PACK STYLE BLACK 1 (MBP, 901, 431);PACK STYLE BLACK 1 (MBP, 901, 431);AYP
PACK STYLE BLACK 2 (MBP, 901, 1LR);PACK STYLE BLACK 2 (MBP, 901, 1LR);AYQ
PACK PAINTED BUMPER AND BLACK (MBP, 901);PACK PAINTED BUMPER AND BLACK (MBP, 901);AYV
PACK VISIBILITY (051, LPZ);PACK VISIBILITY (051, LPZ);AYZ
Pack Pivoting Captain Chairs Vans & Cabs 1 (4TI, 4EB, 50E, 7WV, 941);Pack Pivoting Captain Chairs Vans & Cabs 1 (4TI, 4EB, 50E, 7WV, 941);BJ0
Pack Pivoting Captain Chairs Cabs 2 (4TI, 4EB, 50E, 7WV);Pack Pivoting Captain Chairs Cabs 2 (4TI, 4EB, 50E, 7WV);BK5
Pack painted bumper and black skid plate + fog lights (MBP, 901, LPZ);Pack painted bumper and black skid plate + fog lights (MBP, 901, LPZ);BK6
Pack steering wheel controls and antenna in the mirror (6QD, 54Q, 5BH);Pack steering wheel controls and antenna in the mirror (6QD, 54Q, 5BH);BK8
Lounge Pack with 10'' Radio (140, RFX, 2PZ, 2QF);Lounge Pack with 10'' Radio (140, RFX, 2PZ, 2QF);BK9
Lounge Pack (140, RFX, 2QF);Lounge Pack (140, RFX, 2QF);BKA
Two-color Light Pack (320, 0XW, 431);Two-color Light Pack (320, 0XW, 431);BKB
Black Manual Trasmission Pack (320, 0XW, 0R2);Black Manual Trasmission Pack (320, 0XW, 0R2);BKC
Two-color Heavy & Automatic Trasmission Pack (320, 0XW, 1LR);Two-color Heavy & Automatic Trasmission Pack (320, 0XW, 1LR);BKD
Pack Safety Camper (5F4, 051);Pack Safety Camper (5F4, 051);BKF
Pack seat carter & box for Cowls (8ZJ, 7WV);Pack seat carter & box for Cowls (8ZJ, 7WV);BKH
Pack archweel mouldings on heavy Vans (4BJ, LPZ);Pack archweel mouldings on heavy Vans (4BJ, LPZ);BKJ
Vision Pack Level 1 (341, 508);Vision Pack Level 1 (341, 508);BKK
Vision Pack Level 2  (XAN, 341, 508);Vision Pack Level 2  (XAN, 341, 508);BKL
Pack heated window rear doors (519, 029);Pack heated window rear doors (519, 029);BKN
L2 AUTONOMOUS DRIVING BASE (8JP, 026, GX4, JKU, 2PZ, 140, RS3, RFX, 2QF,0XW, 320, 7WV, 50E, 051, LPZ);L2 AUTONOMOUS DRIVING BASE (8JP, 026, GX4, JKU, 2PZ, 140, RS3, RFX, 2QF,0XW, 320, 7WV, 50E, 051, LPZ);BP6
L2 AUTONOMOUS DRIVING + VISIBILITY PLUS (8JP, 026, GX4, JKU, 2PZ, 140, RS3, RFX, 2QF,0XW, 320, 7WV, 50E, 051, LPZ, 9WE);L2 AUTONOMOUS DRIVING + VISIBILITY PLUS (8JP, 026, GX4, JKU, 2PZ, 140, RS3, RFX, 2QF,0XW, 320, 7WV, 50E, 051, LPZ, 9WE);BP7
LEV L2 AUTONOMOUS DRIVING + VISIBILITY + CITY PLUS (8JP, RS3, RFX, 320, 0XW, 50E, JKU, 051, LPZ, XAN, 341, 2V8, GRG);LEV L2 AUTONOMOUS DRIVING + VISIBILITY + CITY PLUS (8JP, RS3, RFX, 320, 0XW, 50E, JKU, 051, LPZ, XAN, 341, 2V8, GRG);BP8
L2 AUTONOMOUS DRIVING + VISIBILITY PLUS + CITY PLUS (8JP, RS3, RFX, 320, 0XW, 50E, JKU, 051, LPZ, 9WE, XAN, 341, 2V8, GRG);L2 AUTONOMOUS DRIVING + VISIBILITY PLUS + CITY PLUS (8JP, RS3, RFX, 320, 0XW, 50E, JKU, 051, LPZ, 9WE, XAN, 341, 2V8, GRG);BP9
EASY DRIVING + VISIBILITY + CITY PLUS (5F8, 051, LPZ, XAN, 341 , 2V8, GRG);EASY DRIVING + VISIBILITY + CITY PLUS (5F8, 051, LPZ, XAN, 341 , 2V8, GRG);BPA
EASY DRIVING + VISIBILITY PLUS + CITY PLUS (5F8, 051, LPZ, 9WE, XAN, 341 , 2V8, GRG);EASY DRIVING + VISIBILITY PLUS + CITY PLUS (5F8, 051, LPZ, 9WE, XAN, 341 , 2V8, GRG);BPB
WINTER + PREMIUM CAB + HANDSFREE & SOCKET (887, 453, 253, 205, 0XW, 320, 7WV, 50E, 8RS, GX4, 026, JKU);WINTER + PREMIUM CAB + HANDSFREE & SOCKET (887, 453, 253, 205, 0XW, 320, 7WV, 50E, GX4, 026, JKU);BPC
WINTER + PREMIUM CAB + HANDSFREE & GLOVEBOX (887, 453, 253, 205, 0XW, 320, 7WV, 50E, 8RS, GX4, 026, 6ZQ);WINTER + PREMIUM CAB + HANDSFREE & GLOVEBOX (887, 453, 253, 205, 0XW, 320, 7WV, 50E, GX4, 026, 6ZQ);BPD
STYLE 1 + VISIBILITY PLUS + CITY PLUS (MBP, 901, 431, XAN, 341, 2V8, GRG, 051, LPZ, 9WE);STYLE 1 + VISIBILITY PLUS + CITY PLUS (MBP, 901, 431, XAN, 341, 2V8, GRG, 051, LPZ, 9WE);BPF
STYLE 2 + VISIBILITY PLUS + CITY PLUS (MBP, 901, 1LR, XAN, 341, 2V8, GRG, 051, LPZ, 9WE);STYLE 2 + VISIBILITY PLUS + CITY PLUS (MBP, 901, 1LR, XAN, 341, 2V8, GRG, 051, LPZ, 9WE);BPG
TECHNO + PREMIUM CAB + VISIBILITY PLUS (2PZ, 140, RS3,  051, LPZ, 9WE, 0XW, 320, 7WV, 50E);TECHNO + PREMIUM CAB + VISIBILITY PLUS (2PZ, 140, RS3,  051, LPZ, 9WE, 0XW, 320, 7WV, 50E);BPH
L2 AUTONOMOUS DRIVING ALL IN PACK FOR CAMPERS NO RADIO 1 (8JP, 140, RFX, 2QF, 320, 0XW, 1LR, MBP, 901, LPZ, 051, 026);L2 AUTONOMOUS DRIVING ALL IN PACK FOR CAMPERS NO RADIO 1 (8JP, 140, RFX, 2QF, 320, 0XW, 1LR, MBP, 901, LPZ, 051, 026);BPQ
L2 AUTONOMOUS DRIVING ALL IN PACK FOR CAMPERS NO RADIO 2 (8JP, 140, RFX, 2QF, 320, 0XW, 1LR, 4BJ, LPZ, 051, 026);L2 AUTONOMOUS DRIVING ALL IN PACK FOR CAMPERS NO RADIO 2 (8JP, 140, RFX, 2QF, 320, 0XW, 1LR, 4BJ, LPZ, 051, 026);BPR
L2 AUTONOMOUS DRIVING ALL IN PACK FOR CAMPERS RADIO NAV 1 (8JP, 140, RFX, 2PZ, 2QF, 320, 0XW, 1LR, MBP, 901, LPZ, 051, 026);L2 AUTONOMOUS DRIVING ALL IN PACK FOR CAMPERS RADIO NAV 1 (8JP, 140, RFX, 2PZ, 2QF, 320, 0XW, 1LR, MBP, 901, LPZ, 051, 026);BPS
L2 AUTONOMOUS DRIVING ALL IN PACK FOR CAMPERS RADIO NAV 2 (8JP, 140, RFX, 2PZ, 2QF, 320, 0XW, 1LR, 4BJ, LPZ, 051, 026);L2 AUTONOMOUS DRIVING ALL IN PACK FOR CAMPERS RADIO NAV 2 (8JP, 140, RFX, 2PZ, 2QF, 320, 0XW, 1LR, 4BJ, LPZ, 051, 026);BPU
PACK EASY DRIVING PLUS FOR CAMPERS 1 (5F8, 5F4, 051, MBP, 901, LPZ);PACK EASY DRIVING PLUS FOR CAMPERS 1 (5F8, 5F4, 051, MBP, 901, LPZ);BPV
PACK EASY DRIVING PLUS FOR CAMPERS 2  (5F8, 5F4, 051, 4BJ, LPZ);PACK EASY DRIVING PLUS FOR CAMPERS 2  (5F8, 5F4, 051, 4BJ, LPZ);BPW
PACK VISION LOUNGE FOR CAMPERS 1 (MBP, 901, LPZ, XAN, 341, 2V8, GRG, 316, 140, RFX, 2PZ, 2QF);PACK VISION LOUNGE FOR CAMPERS 1 (MBP, 901, LPZ, XAN, 341, 2V8, GRG, 316, 140, RFX, 2PZ, 2QF);BPX
PACK VISION LOUNGE FOR CAMPERS 2 (4BJ, LPZ, XAN, 341, 2V8, GRG, 316, 140, RFX, 2PZ, 2QF);PACK VISION LOUNGE FOR CAMPERS 2 (4BJ, LPZ, XAN, 341, 2V8, GRG, 316, 140, RFX, 2PZ, 2QF);BPY
PACK DELIVERY (786, 980, LHA, MNG, 619, 051, LPZ, 140, RS3, 2PZ);PACK DELIVERY (786, 980, LHA, MNG, 619, 051, LPZ, 140, RS3, 2PZ);C4Q
PACK DELIVERY BEV (786, 980, 6ZQ, LHA, MNG, 823, 619);PACK DELIVERY BEV (786, 980, 6ZQ, LHA, MNG, 823, 619);C4R
PACK PREMIUM CAB HYDROGEN 1 (RFX, 6ZQ, 0XW, 320, RS3);PACK PREMIUM CAB HYDROGEN 1 (RFX, 6ZQ, 0XW, 320, RS3);C4S
PACK PREMIUM CAB HYDROGEN 1 (RFX, JKU, 0XW, 320, RS3);PACK PREMIUM CAB HYDROGEN 1 (RFX, JKU, 0XW, 320, RS3);C4T
Pack orderabilty Toyota (129, 253, 887, 205, 453, GX4);Pack orderabilty Toyota (129, 253, 887, 205, 453, GX4);C5Z
Pack orderabilty Toyota 2 (2PZ, 140, RS3, 3YC);Pack orderabilty Toyota 2 (2PZ, 140, RS3, 3YC);C6C
PACK PREMIUM VAN (0XW, 320, 7WV, 50E, 316);PACK PREMIUM VAN (0XW, 320, 7WV, 50E, 316);C7B
PACK PREMIUM VAN  SUSPENSION SEAT (0XW, 320, 640, 50E, 316);PACK PREMIUM VAN  SUSPENSION SEAT (0XW, 320, 640, 50E, 316);C7C
"PACK RADIO 7""+ USB (1RB, RS3)";"PACK RADIO 7""+ USB (1RB, RS3)";C7D
PACK CARGO BASE L4 (823, 619, LHA);PACK CARGO BASE L4 (823, 619, LHA);C7F
PACK CARGO BASE L2-L3 (361, 823, 619, LHA);PACK CARGO BASE L2-L3 (361, 823, 619, LHA);C7G
BEV PACK COMFORT CHASSIS/DROPSIDE (RS3, GX4, RFX);BEV PACK COMFORT CHASSIS/DROPSIDE (RS3, GX4, RFX);C8R
BEV PACK COMFORT VAN (RS3, GX4, RFX, 316);BEV PACK COMFORT VAN (RS3, GX4, RFX, 316);C8S
BEV PACK TECH NAV (2PZ, RS3, 320, 0XW, 50E);BEV PACK TECH NAV (2PZ, RS3, 320, 0XW, 50E);C8T
BEV PACK PREMIUM SOCKET CHASSIS/DROPSIDE (2PZ, RS3, JKU, 320, 0XW, 50E, GX4, RFX);BEV PACK PREMIUM SOCKET CHASSIS/DROPSIDE (2PZ, RS3, JKU, 320, 0XW, 50E, GX4, RFX);C8U
BEV PACK PREMIUM GLOVEBOX CHASSIS/DROPSIDE (2PZ, RS3, 6ZQ, 320, 0XW, 50E, GX4, RFX);BEV PACK PREMIUM GLOVEBOX CHASSIS/DROPSIDE (2PZ, RS3, 6ZQ, 320, 0XW, 50E, GX4, RFX);C8V
BEV PACK PREMIUM CAB SOCKET VAN (2PZ, RS3, JKU, 320, 0XW, 50E, 316, GX4, RFX);BEV PACK PREMIUM CAB SOCKET VAN (2PZ, RS3, JKU, 320, 0XW, 50E, 316, GX4, RFX);C8W
BEV PACK PREMIUM CAB GLOVEBOX VAN (2PZ, RS3, 6ZQ, 320, 0XW, 50E, 316, GX4, RFX);BEV PACK PREMIUM CAB GLOVEBOX VAN (2PZ, RS3, 6ZQ, 320, 0XW, 50E, 316, GX4, RFX);C8X
BEV L2 AUTONOMUS DRIVING LEV+ FULL LED HEADLAMP (8JP, 2PZ, RS3, JKU, 320, 0XW, 50E, 316, GX4, RFX, 051, LPZ, 9WE);BEV L2 AUTONOMUS DRIVING LEV+ FULL LED HEADLAMP (8JP, 2PZ, RS3, JKU, 320, 0XW, 50E, 316, GX4, RFX, 051, LPZ, 9WE);C8Y
PACK COMFORT CITROEN (0XW, 320, 7WV, 50E, 316, 2QC, XAN, 341. 2V8, GRG, 1RB, RS3, 051, LPZ);PACK COMFORT CITROEN (0XW, 320, 7WV, 50E, 316, 2QC, XAN, 341. 2V8, GRG, 1RB, RS3, 051, LPZ);C90
PACK MAGIC FIAT L2-L3 (0XW, 320, 7WV, 50E, 316, 2QC, 361, 823, 619, LHA, 1RB, RS3, 051, LPZ);PACK MAGIC FIAT L2-L3 (0XW, 320, 7WV, 50E, 316, 2QC, 361, 823, 619, LHA, 1RB, RS3, 051, LPZ);C91
PACK MAGIC FIAT L4 (0XW, 320, 7WV, 50E, 316, 2QC, 823, 619, LHA, 1RB, RS3, 051, LPZ);PACK MAGIC FIAT L4 (0XW, 320, 7WV, 50E, 316, 2QC, 823, 619, LHA, 1RB, RS3, 051, LPZ);C92
PACK ALLURE PEUGEOT (5F8, 2PZ, 140, RS3, 2QF, RFX, 051, LPZ);PACK ALLURE PEUGEOT (5F8, 2PZ, 140, RS3, 2QF, RFX, 051, LPZ);C93
PACK ULTIMATE OPEL (MBP, 901, MM5, 878, 2PZ, 140, RS3, 2QF, RFX, 051, LPZ);PACK ULTIMATE OPEL (MBP, 901, MM5, 878, 2PZ, 140, RS3, 2QF, RFX, 051, LPZ);C94
TECHNO + PREMIUM CAB VAN + VISIBILITY PLUS (2PZ, 140, RS3,  051, LPZ, 9WE, 0XW, 320, 7WV, 50E, 316);TECHNO + PREMIUM CAB VAN + VISIBILITY PLUS (2PZ, 140, RS3,  051, LPZ, 9WE, 0XW, 320, 7WV, 50E, 316);C97
WINTER + PREMIUM CAB + HANDSFREE & SOCKET (887, 453, 253, 205, 0XW, 320, 7WV, 50E, GX4, 026, JKU, 316);WINTER + PREMIUM CAB + HANDSFREE & SOCKET (887, 453, 253, 205, 0XW, 320, 7WV, 50E, GX4, 026, JKU, 316);CD8
WINTER + PREMIUM CAB + HANDSFREE & GLOVEBOX (887, 453, 253, 205, 0XW, 320, 7WV, 50E, GX4, 026, 6ZQ, 316);WINTER + PREMIUM CAB + HANDSFREE & GLOVEBOX (887, 453, 253, 205, 0XW, 320, 7WV, 50E, GX4, 026, 6ZQ, 316);CDF
Gear ratio short identificator;Gear ratio short identificator;CGA
IDENTIFICATION WINDOW_5 25 CHANGE;IDENTIFICATION WINDOW_5 25 CHANGE;J0R
PTT MAGGIORATO 3510 KG;Oversized GVW 3510 kg;Z1G
LIMITATORE DI VELOCITA 110 KM/H;SPEED LIMITER 110 KM/H;CTU
Great Britan Manufacturer plate;Great Britan Manufacturer plate;YEP
North Ireland Market OPT;North Ireland Market OPT;CCU
PACK MID VAN (1RB, RS3, 316, 140, 051, LPZ, 2V8);PACK MID VAN (1RB, RS3, 316, 140, 051, LPZ, 2V8);JM0
PACK HIGH VAN (2PZ, RS3, 316, 140, 051, LPZ, 2V8, 2QF, RFX, GX4, 7WV, 2QC, 50E);PACK HIGH VAN (2PZ, RS3, 316, 140, 051, LPZ, 2V8, 2QF, RFX, GX4, 7WV, 2QC, 50E);JM1
PACK MID CHASSIS (1RB, RS3, 140, 051, LPZ);PACK MID CHASSIS (1RB, RS3, 140, 051, LPZ);JM2
PACK HIGH CHASSIS (2PZ, RS3, 140, 051, LPZ, 2QF, RFX, GX4, 7WV, 2QC, 50E);PACK HIGH CHASSIS (2PZ, RS3, 140, 051, LPZ, 2QF, RFX, GX4, 7WV, 2QC, 50E);JM3
PACK HIGH VAN BEV (2PZ, RS3, 316, 051, 7WV, 50E, 2QC, GX4, LPZ, 2V8, RFX);PACK HIGH VAN BEV (2PZ, RS3, 316, 051, 7WV, 50E, 2QC, GX4, LPZ, 2V8, RFX);JMT
PACK HIGH CHASSIS BEV (2PZ, RS3, 051, 7WV, 50E, 2QC, GX4, LPZ, RFX);PACK HIGH CHASSIS BEV (2PZ, RS3, 051, 7WV, 50E, 2QC, GX4, LPZ, RFX);JMU
PACK HIGH VAN BEV NO ASSIST CALL (2PZ, RS3, 316, 051, 7WV, 50E, 2QC, GX4, LPZ, 2V8, RFX, 3YC);PACK HIGH VAN BEV NO ASSIST CALL (2PZ, RS3, 316, 051, 7WV, 50E, 2QC, GX4, LPZ, 2V8, RFX, 3YC);JMV
PACK HIGH CHASSIS BEV NO ASSIST CALL (2PZ, RS3, 051, 7WV, 50E, 2QC, GX4, LPZ, RFX, 3YC);PACK HIGH CHASSIS BEV NO ASSIST CALL (2PZ, RS3, 051, 7WV, 50E, 2QC, GX4, LPZ, RFX, 3YC);JMW
PACK HIGH VAN NO ASSIST CALL (2PZ, RS3, 316, 140, 051, LPZ, 2V8, 2QF, RFX, GX4, 7WV, 2QC, 50E, 3YC);PACK HIGH VAN NO ASSIST CALL (2PZ, RS3, 316, 140, 051, LPZ, 2V8, 2QF, RFX, GX4, 7WV, 2QC, 50E, 3YC);JMY
PACK HIGH CHASSIS NO ASSIST CALL (2PZ, RS3, 140, 051, LPZ, 2QF, RFX, GX4, 7WV, 2QC, 50E, 3YC);PACK HIGH CHASSIS NO ASSIST CALL (2PZ, RS3, 140, 051, LPZ, 2QF, RFX, GX4, 7WV, 2QC, 50E, 3YC);JN0
WINDOW 3/2026 - LOGISTIC IDENTIFICATION;WINDOW 3/2026 - LOGISTIC IDENTIFICATION;JN1
